,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
2244,Loperfido,Joey,694388,lopej008,loperjo01,-1,2024.0,2024.0
2283,Quinn,Roman,596451,quinr003,quinnro01,13546,2016.0,2022.0
2290,Soler,Jorge,624585,solej001,solerjo01,14221,2014.0,2024.0
2313,Harris,Hobie,665048,harrh001,harriho02,18615,2023.0,2023.0
2323,Houser,Adrian,605288,housa001,housead01,12718,2015.0,2024.0
2347,Phillips,Connor,683175,philc001,phillco01,27649,2023.0,2023.0
2380,Ortiz,Joey,687401,ortij005,ortizjo06,25493,2023.0,2024.0
2381,Zulueta,Yosver,691172,zuluy001,zulueyo01,-1,2024.0,2024.0
2395,Poche,Colin,621363,pochc001,pocheco01,19403,2019.0,2024.0
2398,Helman,Michael,680737,helmm001,helmami01,-1,2024.0,2024.0
2406,Vizcaíno,Arodys,527055,vizca001,vizcaar01,5498,2011.0,2022.0
2410,Dixon,Brandon,641525,dixob001,dixonbr01,15214,2018.0,2023.0
2417,Ozuna,Marcell,542303,ozunm001,ozunama01,10324,2013.0,2024.0
2422,Romero,JoJo,668941,romej002,romerjo01,19574,2020.0,2024.0
2437,Vientos,Mark,668901,vienm001,vientma01,22184,2022.0,2024.0
2438,Rucker,Michael,621074,ruckm001,ruckemi01,19454,2021.0,2023.0
2441,Jansen,Danny,643376,jansd001,janseda01,16535,2018.0,2024.0
2443,Ottavino,Adam,493603,ottaa001,ottavad01,1247,2010.0,2024.0
2449,Black,Tyler,672012,blact003,blackty01,-1,2024.0,2024.0
2467,Nance,Tommy,667297,nanct001,nanceto01,19178,2021.0,2024.0
2479,Machado,Dixon,553988,machd001,machadi01,11472,2015.0,2022.0
2521,Sborz,Josh,622250,sborj002,sborzjo01,18323,2019.0,2024.0
2523,Viloria,Meibrys,650619,vilom001,vilorme01,17109,2018.0,2023.0
2539,Guzmán,Ronald,608597,guzmr001,guzmaro01,14388,2018.0,2022.0
2556,Strickland,Hunter,519326,strih001,strichu01,7836,2014.0,2024.0
2562,Andújar,Miguel,609280,andum001,andujmi01,15878,2017.0,2024.0
2591,Shenton,Austin,668853,shena001,shentau01,25425,2024.0,2024.0
2599,Cecconi,Slade,677944,ceccs001,ceccosl01,27500,2023.0,2024.0
2620,Lugo,Seth,607625,lugos001,lugose01,12447,2016.0,2024.0
2677,Roller,Chris,676896,rollc001,rollech01,-1,2024.0,2024.0
2689,Lawlar,Jordan,691783,lawlj001,lawlajo01,29976,2023.0,2023.0
